"","Plate","Repeat","Well","Type","Time","A","Label"
"271",1,4,"C04","M","00:14:32.08",0.426,"T59"
"272",1,4,"C05","M","00:14:32.97",0.404,"T59"
"273",1,4,"C06","M","00:14:33.85",0.432,"T59"
"274",1,4,"C07","M","00:14:34.74",0.161,"D58"
"275",1,4,"C08","M","00:14:35.63",0.146,"D58"
"276",1,4,"C09","M","00:14:36.52",0.161,"D58"
"277",1,4,"C10","M","00:14:37.41",0.229,"R50"
"278",1,4,"C11","M","00:14:38.30",0.233,"R50"
"279",1,4,"C12","M","00:14:39.19",0.238,"R50"
"280",1,4,"D01","M","00:14:42.52",0.302,"R42"
"281",1,4,"D02","M","00:14:43.41",0.322,"R42"
"282",1,4,"D03","M","00:14:44.30",0.298,"R42"
"283",1,4,"D04","M","00:14:45.19",0.214,"R48"
"284",1,4,"D05","M","00:14:46.08",0.173,"R48"
"285",1,4,"D06","M","00:14:46.97",0.185,"R48"
"286",1,4,"D07","M","00:14:47.85",0.141,"T56"
"287",1,4,"D08","M","00:14:48.74",0.156,"T56"
"288",1,4,"D09","M","00:14:49.63",0.146,"T56"
"289",1,4,"D10","M","00:14:50.52",0.182,"X44"
"290",1,4,"D11","M","00:14:51.41",0.191,"X44"
"291",1,4,"D12","M","00:14:52.30",0.179,"X44"
"292",1,4,"E01","M","00:14:55.63",0.379,"R47"
"293",1,4,"E02","M","00:14:56.52",0.343,"R47"
"294",1,4,"E03","M","00:14:57.41",0.344,"R47"
"295",1,4,"E04","M","00:14:58.30",0.125,"N45"
"296",1,4,"E05","M","00:14:59.19",0.138,"N45"
"297",1,4,"E06","M","00:15:00.08",0.135,"N45"
"298",1,4,"E07","M","00:15:00.97",0.217,"N44"
"299",1,4,"E08","M","00:15:01.85",0.206,"N44"
"300",1,4,"E09","M","00:15:02.74",0.209,"N44"
"301",1,4,"E10","M","00:15:03.63",0.252,"X43"
"302",1,4,"E11","M","00:15:04.52",0.248,"X43"
"303",1,4,"E12","M","00:15:05.41",0.237,"X43"
"304",1,4,"F01","M","00:15:08.74",0.179,"M47"
"305",1,4,"F02","M","00:15:09.63",0.157,"M47"
"306",1,4,"F03","M","00:15:10.52",0.158,"M47"
"307",1,4,"F04","M","00:15:11.41",0.459,"T58"
"308",1,4,"F05","M","00:15:12.30",0.457,"T58"
"309",1,4,"F06","M","00:15:13.19",0.431,"T58"
"310",1,4,"F07","M","00:15:14.08",0.19,"N46"
"311",1,4,"F08","M","00:15:14.96",0.158,"N46"
"312",1,4,"F09","M","00:15:15.85",0.169,"N46"
"313",1,4,"F10","M","00:15:16.74",0.715,"T61"
"314",1,4,"F11","M","00:15:17.63",0.801,"T61"
"315",1,4,"F12","M","00:15:18.52",0.67,"T61"
"316",1,4,"G01","M","00:15:21.85",0.229,"D59"
"317",1,4,"G02","M","00:15:22.74",0.213,"D59"
"318",1,4,"G03","M","00:15:23.63",0.213,"D59"
"319",1,4,"G04","M","00:15:24.52",0.084,"POS"
"320",1,4,"G05","M","00:15:25.41",0.086,"POS"
"321",1,4,"G06","M","00:15:26.30",0.086,"POS"
"322",1,4,"G07","M","00:15:27.19",0.122,"BCKGRD"
"323",1,4,"G08","M","00:15:28.08",0.1,"BCKGRD"
"324",1,4,"G09","M","00:15:28.96",0.192,"BCKGRD"
"325",1,5,"A01","M","00:18:38.06",0.074,"0"
"326",1,5,"A02","M","00:18:38.96",0.076,"8"
"327",1,5,"A03","M","00:18:39.85",0.088,"16"
"328",1,5,"A04","M","00:18:40.74",0.119,"24"
"329",1,5,"A05","M","00:18:41.63",0.186,"32"
"330",1,5,"A06","M","00:18:42.52",0.272,"40"
"331",1,5,"A07","M","00:18:43.41",0.158,"R46"
"332",1,5,"A08","M","00:18:44.30",0.161,"R46"
"333",1,5,"A09","M","00:18:45.18",0.154,"R46"
"334",1,5,"A10","M","00:18:46.07",0.172,"M89"
"335",1,5,"A11","M","00:18:46.96",0.177,"M89"
"336",1,5,"A12","M","00:18:47.85",0.17,"M89"
"337",1,5,"B01","M","00:18:51.19",0.17,"M41"
"338",1,5,"B02","M","00:18:52.07",0.184,"M41"
"339",1,5,"B03","M","00:18:52.96",0.171,"M41"
"340",1,5,"B04","M","00:18:53.85",0.16,"D55"
"341",1,5,"B05","M","00:18:54.74",0.165,"D55"
"342",1,5,"B06","M","00:18:55.63",0.16,"D55"
"343",1,5,"B07","M","00:18:56.52",0.16,"D56"
"344",1,5,"B08","M","00:18:57.41",0.193,"D56"
"345",1,5,"B09","M","00:18:58.29",0.094,"D56"
"346",1,5,"B10","M","00:18:59.18",0.23,"X42"
"347",1,5,"B11","M","00:19:00.07",0.206,"X42"
"348",1,5,"B12","M","00:19:00.96",0.208,"X42"
"349",1,5,"C01","M","00:19:04.30",0.227,"T62"
"350",1,5,"C02","M","00:19:05.18",0.221,"T62"
"351",1,5,"C03","M","00:19:06.07",0.223,"T62"
"352",1,5,"C04","M","00:19:06.96",0.424,"T59"
"353",1,5,"C05","M","00:19:07.85",0.405,"T59"
"354",1,5,"C06","M","00:19:08.74",0.431,"T59"
"355",1,5,"C07","M","00:19:09.63",0.164,"D58"
"356",1,5,"C08","M","00:19:10.52",0.148,"D58"
"357",1,5,"C09","M","00:19:11.41",0.164,"D58"
"358",1,5,"C10","M","00:19:12.29",0.23,"R50"
"359",1,5,"C11","M","00:19:13.18",0.234,"R50"
"360",1,5,"C12","M","00:19:14.07",0.232,"R50"
"361",1,5,"D01","M","00:19:17.41",0.302,"R42"
"362",1,5,"D02","M","00:19:18.29",0.329,"R42"
"363",1,5,"D03","M","00:19:19.18",0.298,"R42"
"364",1,5,"D04","M","00:19:20.07",0.218,"R48"
"365",1,5,"D05","M","00:19:20.96",0.174,"R48"
"366",1,5,"D06","M","00:19:21.85",0.186,"R48"
"367",1,5,"D07","M","00:19:22.74",0.143,"T56"
"368",1,5,"D08","M","00:19:23.63",0.158,"T56"
"369",1,5,"D09","M","00:19:24.52",0.147,"T56"
"370",1,5,"D10","M","00:19:25.41",0.183,"X44"
"371",1,5,"D11","M","00:19:26.29",0.192,"X44"
"372",1,5,"D12","M","00:19:27.18",0.181,"X44"
"373",1,5,"E01","M","00:19:30.52",0.38,"R47"
"374",1,5,"E02","M","00:19:31.41",0.344,"R47"
"375",1,5,"E03","M","00:19:32.29",0.343,"R47"
"376",1,5,"E04","M","00:19:33.18",0.126,"N45"
"377",1,5,"E05","M","00:19:34.07",0.141,"N45"
"378",1,5,"E06","M","00:19:34.96",0.138,"N45"
"379",1,5,"E07","M","00:19:35.85",0.22,"N44"
"380",1,5,"E08","M","00:19:36.74",0.206,"N44"
"381",1,5,"E09","M","00:19:37.63",0.21,"N44"
"382",1,5,"E10","M","00:19:38.52",0.253,"X43"
"383",1,5,"E11","M","00:19:39.41",0.248,"X43"
"384",1,5,"E12","M","00:19:40.29",0.24,"X43"
"385",1,5,"F01","M","00:19:43.63",0.183,"M47"
"386",1,5,"F02","M","00:19:44.52",0.16,"M47"
"387",1,5,"F03","M","00:19:45.40",0.16,"M47"
"388",1,5,"F04","M","00:19:46.29",0.458,"T58"
"389",1,5,"F05","M","00:19:47.18",0.458,"T58"
"390",1,5,"F06","M","00:19:48.07",0.43,"T58"
"391",1,5,"F07","M","00:19:48.96",0.196,"N46"
"392",1,5,"F08","M","00:19:49.85",0.16,"N46"
"393",1,5,"F09","M","00:19:50.74",0.17,"N46"
"394",1,5,"F10","M","00:19:51.63",0.719,"T61"
"395",1,5,"F11","M","00:19:52.52",0.869,"T61"
"396",1,5,"F12","M","00:19:53.41",0.671,"T61"
"397",1,5,"G01","M","00:19:56.74",0.232,"D59"
"398",1,5,"G02","M","00:19:57.63",0.216,"D59"
"399",1,5,"G03","M","00:19:58.52",0.216,"D59"
"400",1,5,"G04","M","00:19:59.40",0.086,"POS"
"401",1,5,"G05","M","00:20:00.29",0.087,"POS"
"402",1,5,"G06","M","00:20:01.18",0.088,"POS"
"403",1,5,"G07","M","00:20:02.07",0.119,"BCKGRD"
"404",1,5,"G08","M","00:20:02.96",0.097,"BCKGRD"
"405",1,5,"G09","M","00:20:03.85",0.189,"BCKGRD"
"406",1,6,"A01","M","00:23:13.00",0.074,"0"
"407",1,6,"A02","M","00:23:13.90",0.076,"8"
"408",1,6,"A03","M","00:23:14.79",0.084,"16"
"409",1,6,"A04","M","00:23:15.68",0.11,"24"
"410",1,6,"A05","M","00:23:16.57",0.172,"32"
"411",1,6,"A06","M","00:23:17.46",0.252,"40"
"412",1,6,"A07","M","00:23:18.35",0.16,"R46"
"413",1,6,"A08","M","00:23:19.23",0.167,"R46"
"414",1,6,"A09","M","00:23:20.12",0.156,"R46"
"415",1,6,"A10","M","00:23:21.01",0.169,"M89"
"416",1,6,"A11","M","00:23:21.90",0.178,"M89"
"417",1,6,"A12","M","00:23:22.79",0.173,"M89"
"418",1,6,"B01","M","00:23:26.12",0.171,"M41"
"419",1,6,"B02","M","00:23:27.01",0.186,"M41"
"420",1,6,"B03","M","00:23:27.90",0.173,"M41"
"421",1,6,"B04","M","00:23:28.79",0.163,"D55"
"422",1,6,"B05","M","00:23:29.68",0.169,"D55"
"423",1,6,"B06","M","00:23:30.57",0.163,"D55"
"424",1,6,"B07","M","00:23:31.46",0.161,"D56"
"425",1,6,"B08","M","00:23:32.35",0.185,"D56"
"426",1,6,"B09","M","00:23:33.23",0.093,"D56"
"427",1,6,"B10","M","00:23:34.12",0.233,"X42"
"428",1,6,"B11","M","00:23:35.01",0.207,"X42"
"429",1,6,"B12","M","00:23:35.90",0.209,"X42"
"430",1,6,"C01","M","00:23:39.24",0.228,"T62"
"431",1,6,"C02","M","00:23:40.12",0.222,"T62"
"432",1,6,"C03","M","00:23:41.01",0.224,"T62"
"433",1,6,"C04","M","00:23:41.90",0.423,"T59"
"434",1,6,"C05","M","00:23:42.79",0.404,"T59"
"435",1,6,"C06","M","00:23:43.68",0.431,"T59"
"436",1,6,"C07","M","00:23:44.57",0.162,"D58"
"437",1,6,"C08","M","00:23:45.46",0.151,"D58"
"438",1,6,"C09","M","00:23:46.35",0.167,"D58"
"439",1,6,"C10","M","00:23:47.23",0.23,"R50"
"440",1,6,"C11","M","00:23:48.12",0.234,"R50"
"441",1,6,"C12","M","00:23:49.01",0.234,"R50"
"442",1,6,"D01","M","00:23:52.35",0.301,"R42"
"443",1,6,"D02","M","00:23:53.23",0.331,"R42"
"444",1,6,"D03","M","00:23:54.12",0.297,"R42"
"445",1,6,"D04","M","00:23:55.01",0.214,"R48"
"446",1,6,"D05","M","00:23:55.90",0.177,"R48"
"447",1,6,"D06","M","00:23:56.79",0.188,"R48"
"448",1,6,"D07","M","00:23:57.68",0.147,"T56"
"449",1,6,"D08","M","00:23:58.57",0.16,"T56"
"450",1,6,"D09","M","00:23:59.46",0.149,"T56"
"451",1,6,"D10","M","00:24:00.35",0.185,"X44"
"452",1,6,"D11","M","00:24:01.23",0.194,"X44"
"453",1,6,"D12","M","00:24:02.12",0.182,"X44"
"454",1,6,"E01","M","00:24:05.46",0.381,"R47"
"455",1,6,"E02","M","00:24:06.34",0.344,"R47"
"456",1,6,"E03","M","00:24:07.23",0.344,"R47"
"457",1,6,"E04","M","00:24:08.12",0.128,"N45"
"458",1,6,"E05","M","00:24:09.01",0.146,"N45"
